id,name,artists,album,album_id,album_artists,album_release_date,duration_ms,popularity,explicit,track_number,disc_number,is_local,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
7d2pM027AXFpLIhhWq91AP,i'll see you again,"['League of Legends', 'suteki']",Sessions: Star Guardian Taliyah,5a3R3wxx4SURufgfrgxwdV,['League of Legends'],2022-07-11,214151,47,False,1,1,False,7d2pM027AXFpLIhhWq91AP,0.714,0.837,7,-6.403,1,0.0637,0.177,0.00986,0.121,0.615,146.973,4
1F1ifBx37iZ9GTQPp5HoEP,Tokyo Bug Night,"['電音部', 'Moe Shop', '犬吠埼紫杏 (CV: 長谷川玲奈)']",Tokyo Bug Night,2ojUFAgvgG8OZb6UbwvVe0,"['電音部', 'Moe Shop']",2023-03-09,220153,44,False,1,1,False,1F1ifBx37iZ9GTQPp5HoEP,0.668,0.752,7,-8.546,1,0.0346,0.000362,0.123,0.201,0.406,129.992,4
3WBRfkOozHEsG0hbrBzwlm,Everything Goes On,"['Porter Robinson', 'League of Legends']",Everything Goes On,0j4PaZDmzAJ4PlS89zcHbW,"['Porter Robinson', 'League of Legends']",2022-07-14,202821,69,False,1,1,False,3WBRfkOozHEsG0hbrBzwlm,0.55,0.648,7,-6.542,1,0.0309,0.0191,0,0.0999,0.323,156.957,4
5BZlA4HSV36XZqnfOQOzyz,Sailor Team,['Macross 82-99'],CHAM!,4mk2tlpNn3mQKa6TlNNhnc,['Macross 82-99'],2015-10-21,163278,35,False,5,1,False,5BZlA4HSV36XZqnfOQOzyz,0.831,0.758,8,-6.448,1,0.15,0.006,0.0262,0.313,0.826,122.006,4
28d5jK6lX3Mipdta6dQWjJ,CANDY CANDY - Moe Shop Remix,"['Kyary Pamyu Pamyu', 'Moe Shop']",CANDY CANDY (Moe Shop Remix),7rNO0ev82wqyzSZ8c9PAUG,"['Kyary Pamyu Pamyu', 'Moe Shop']",2023-04-21,285692,47,False,1,1,False,28d5jK6lX3Mipdta6dQWjJ,0.642,0.75,3,-4.804,0,0.0341,0.00123,0.138,0.4,0.591,130.013,4
4rg1FeTviwaV7MNrjJXwFG,Introvert,['Pure Gem'],Re: Galaxy,1wyM9W7rA3C7zsW4cqUvlP,['Pure Gem'],2019-05-25,201567,12,False,5,1,False,4rg1FeTviwaV7MNrjJXwFG,0.726,0.498,7,-7.771,1,0.551,0.0111,0.164,0.101,0.234,121.481,4
3ARnfNFPZ9DYviuqC9TK3M,Lovesick,"['Moe Shop', 'maisou']",Moe Moe,4cQMG9J5WiIDMYaWf5axzy,['Moe Shop'],2018-03-15,172510,48,False,4,1,False,3ARnfNFPZ9DYviuqC9TK3M,0.84,0.545,1,-7.104,0,0.0971,0.00211,0.357,0.119,0.686,119.988,4
4n0sVfRnd0UJsqcbPj7GqN,Notice,"['Moe Shop', 'TORIENA']",Moe Moe,4cQMG9J5WiIDMYaWf5axzy,['Moe Shop'],2018-03-15,189130,59,False,5,1,False,4n0sVfRnd0UJsqcbPj7GqN,0.788,0.485,11,-7.801,0,0.256,0.0101,0.000524,0.0288,0.423,125.061,4
2vUXrA508FnOaiKoChUxbg,Girly Cupid,['Marpril'],city hop,6M5zwzK4G6OYqYo07swSuc,['Marpril'],2020-05-15,241810,32,False,5,1,False,2vUXrA508FnOaiKoChUxbg,0.676,0.725,1,-4.348,1,0.419,0.00687,0.00125,0.428,0.78,133.077,4
1awjNR40wYscCumpP4zFVM,Fantasy,"['Moe Shop', 'MONICO']",Moe Moe,4cQMG9J5WiIDMYaWf5axzy,['Moe Shop'],2018-03-15,275381,37,False,6,1,False,1awjNR40wYscCumpP4zFVM,0.744,0.485,9,-8.281,0,0.193,0.00862,0.0114,0.404,0.269,95.014,4
